[2025-06-05 20:27:51] [class-ss-archive-creation-job.php:119] Starting a job; no job is presently running
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInUp.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.js
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.min.js
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.js
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.min.js
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/color-thief/color-thief.min.js
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/dialog/dialog.js
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/dom-to-image/js/dom-to-image.js
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/dom-to-image/js/dom-to-image.min.js
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.js
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.min.js
